,엔진 갤런당 마일 수,엔진의 실린더 수,엔진 변위,자동차의 마력,자동차의 중량,자동차의 가속도,자동차의 연식,생산 국가,차 이름
387,26.0,4,156.0,92,2585,14.5,82,america,chrysler_lebaron_medallion
388,22.0,6,232.0,112,2835,14.7,82,america,ford_granada_l
389,32.0,4,144.0,96,2665,13.9,82,asia or other,toyota_celica_gt
390,36.0,4,135.0,84,2370,13.0,82,america,dodge_charger_2.2
391,27.0,4,151.0,90,2950,17.3,82,america,chevrolet_camaro
392,27.0,4,140.0,86,2790,15.6,82,america,ford_mustang_gl
393,44.0,4,97.0,52,2130,24.6,82,europe,vw_pickup
394,32.0,4,135.0,84,2295,11.6,82,america,dodge_rampage
395,28.0,4,120.0,79,2625,18.6,82,america,ford_ranger
396,31.0,4,119.0,82,2720,19.4,82,america,chevy_s-10
