지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
174,2019-03-10 22:00,4.8,,.7,340,99,8.5,4.6,991.2,1011.4,,,,,0,0,,,725,,,5.6,,,,
174,2019-03-10 23:00,3.8,,.3,0,100,8,3.7,991.3,1011.5,,,,,0,0,,,166,,,4.9,,,,
174,2019-03-11 00:00,2.5,,.6,110,100,7.3,2.4,991.2,1011.5,,,,,0,0,,,13,,,4.8,,,,
174,2019-03-11 01:00,3.5,,1.5,360,100,7.8,3.4,991.5,1011.8,,,,,0,0,,,841,,,4.1,,,,
174,2019-03-11 02:00,2.6,,.7,20,100,7.3,2.5,991.3,1011.6,,,,,7,0,,,417,,,3.6,,,,
174,2019-03-11 03:00,3.7,,2.6,290,98,7.8,3.4,990.9,1011.1,,,,,9,0,,,778,,,3.3,,,,
174,2019-03-11 04:00,1,,.4,0,100,6.5,.9,990.6,1011.1,,,,,10,1,,2,157,,,2.7,,,,
174,2019-03-11 05:00,.3,,.1,0,100,6.2,.2,990.9,1011.4,,,,,10,9,,,17,,,2.4,,,,
174,2019-03-11 06:00,.5,,1.4,320,100,6.3,.4,991.4,1011.9,,,,,9,5,,,91,,,1.8,,,,
174,2019-03-11 07:00,.9,,2.4,290,100,6.5,.8,991.7,1012.2,0,,,,3,0,,,285,,,1.7,,,,
174,2019-03-11 08:00,1.8,,1,90,100,6.9,1.7,991.2,1011.6,.5,,,,7,7,,57,415,,,3.2,,,,
174,2019-03-11 09:00,5.1,,3,270,78,6.8,1.5,991.6,1011.8,.8,,,,7,2,,60,1131,,,5.2,,,,
174,2019-03-11 10:00,7.9,,2.9,290,68,7.2,2.3,991.4,1011.3,.7,,,,8,8,,58,1398,,,7.5,,,,
174,2019-03-11 11:00,9.4,,3.8,290,65,7.6,3.1,991.2,1011,1,,,,6,2,,69,1671,,,10.3,,,,
174,2019-03-11 12:00,9.9,,4.1,290,65,7.9,3.6,990.7,1010.5,1,,,,8,3,,43,1436,,,11.6,,,,
174,2019-03-11 13:00,10.7,,3.2,340,68,8.7,5,990,1009.7,.2,,,,,1,,10,892,,,12.7,,,,
174,2019-03-11 14:00,11,,2.7,320,65,8.5,4.6,989.4,1009.1,.4,,,,8,8,,10,1170,,,12.4,,,,
174,2019-03-11 15:00,9.8,,2.9,320,67,8.1,3.9,989.2,1009,0,,,,10,9,,11,1482,,,9.8,,,,
174,2019-03-11 16:00,9.9,,2.8,290,71,8.6,4.8,988.6,1008.4,0,,,,10,6,,9,1252,,,10.2,,,,
174,2019-03-11 17:00,6.8,,1.1,340,95,9.3,6,988.5,1008.5,.1,,,,10,10,,5,1060,,,9.5,,,,
174,2019-03-11 18:00,6.2,1.8,.7,290,97,9.2,5.7,988.5,1008.5,.2,,,,5,2,,13,754,,,8.1,,,,
174,2019-03-11 19:00,6.3,,2.8,290,90,8.5,4.7,989.2,1009.2,0,,,,10,10,,6,902,,,7.4,,,,
174,2019-03-11 20:00,4.7,,.6,250,100,8.5,4.6,989.2,1009.4,,,,,6,2,,14,765,,,6.1,,,,
174,2019-03-11 21:00,3.5,.2,.8,320,100,7.8,3.4,989.2,1009.4,,,,,5,3,,7,310,,,5.2,,,,
174,2019-03-11 22:00,3.7,,.7,140,100,7.9,3.6,989.8,1010,,,,,1,1,,6,309,,,5.8,,,,
174,2019-03-11 23:00,5.4,,2.4,320,94,8.4,4.5,990.1,1010.2,,,,,0,0,,,843,,,5.8,,,,
174,2019-03-12 00:00,5.4,,1.5,320,92,8.2,4.1,990.2,1010.3,,,,,9,9,,,814,,,5.8,,,,
174,2019-03-12 01:00,5.6,,2.8,320,93,8.4,4.5,990.5,1010.6,,,,,0,0,,,535,,,6,,,,
174,2019-03-12 02:00,5.7,,3.9,320,90,8.2,4.1,990.8,1010.9,,,,,9,9,,4,395,,,5.7,,,,
174,2019-03-12 03:00,5.7,,3.4,340,89,8.1,4,990.7,1010.8,,,,,0,0,,,451,,,5.6,,,,
174,2019-03-12 04:00,5.3,,3.8,320,88,7.8,3.4,990.5,1010.6,,,,,6,6,,5,655,,,4.8,,,,
174,2019-03-12 05:00,4.5,,2.3,340,84,7.1,2,990.6,1010.8,,,,,3,1,,6,481,,,3.8,,,,
174,2019-03-12 06:00,4.1,,1.3,50,85,6.9,1.7,990.9,1011.1,,,,,2,1,,6,391,,,3.5,,,,
174,2019-03-12 07:00,4,,1.2,20,84,6.8,1.5,991.5,1011.7,0,,,,7,5,,6,332,,,3.6,,,,
174,2019-03-12 08:00,3.9,,.9,230,88,7.1,2,992.5,1012.7,.3,,,,0,0,,,322,,,4.3,,,,
174,2019-03-12 09:00,5.8,,1.5,360,77,7.1,2,992.5,1012.6,.6,,,,0,0,,,353,,,5.7,,,,
174,2019-03-12 10:00,7.2,,2.2,340,71,7.2,2.2,992.5,1012.5,1,,,,1,0,,,388,,,8,,,,
174,2019-03-12 11:00,8.5,,2.9,340,70,7.7,3.3,992.8,1012.7,1,,,,2,0,,,337,,,10.5,,,,
174,2019-03-12 12:00,10.1,,3.6,290,58,7.1,2.1,992.4,1012.2,1,,,,,0,,,486,,,12.4,,,,
174,2019-03-12 13:00,11.3,,4.7,290,52,6.9,1.7,991.6,1011.3,1,,,,2,1,,16,576,,,13.7,,,,
174,2019-03-12 14:00,11.4,,3.9,320,56,7.5,2.9,990.8,1010.5,.6,,,,6,4,,13,500,,,12.5,,,,
174,2019-03-12 15:00,11.6,,4.4,320,54,7.3,2.5,990,1009.6,.7,,,,8,2,,15,519,,,12.4,,,,
174,2019-03-12 16:00,10.8,,4.7,320,61,7.8,3.5,990,1009.7,0,,,,8,8,,11,457,,,9.9,,,,
174,2019-03-12 17:00,9.6,,4.2,270,69,8.2,4.1,990.3,1010.1,.1,,,,7,7,,10,372,,,9.1,,,,
174,2019-03-12 18:00,8.7,0,3.9,320,67,7.5,2.9,990.4,1010.2,0,,,,7,7,,10,326,,,8.1,,,,
174,2019-03-12 19:00,5,,6.8,340,68,5.9,-.4,993,1013.2,0,,,,9,9,,10,1305,,,5.6,,,,
174,2019-03-12 20:00,2.8,,4,320,93,6.9,1.7,994,1014.4,,,,,10,10,,4,933,,,5.1,,,,
174,2019-03-12 21:00,2.6,.6,5.6,340,82,6.1,-.1,994.6,1015,,,,,3,3,,7,1828,,,4.1,,,,
174,2019-03-12 22:00,1.4,,4.8,340,74,5,-2.7,995.6,1016.1,,,,,0,0,,,1752,,,2.5,,,,
174,2019-03-12 23:00,1,,5.3,320,69,4.5,-4,996.6,1017.2,,,,,3,3,,9,1754,,,1.6,,,,
174,2019-03-13 00:00,.7,,4,340,65,4.2,-5.1,997.1,1017.7,,,,,0,0,,,1756,,,.9,,,,
174,2019-03-13 01:00,.6,,3.8,340,66,4.2,-5,997.5,1018.1,,,,,0,0,,,1708,,,.7,,,,
174,2019-03-13 02:00,.7,,4.5,340,64,4.1,-5.3,998.2,1018.9,,,,,2,1,,11,1769,,,.4,,,,
174,2019-03-13 03:00,.4,,4.6,320,66,4.2,-5.2,998.1,1018.8,,,,,0,0,,,1734,,,.2,,,,
174,2019-03-13 04:00,.6,,4.4,320,62,4,-5.8,997.9,1018.6,,,,,0,0,,,1810,,,0,,,,
174,2019-03-13 05:00,.1,,3.5,340,63,3.9,-6.1,998.4,1019.1,,,,,0,0,,,1806,,,-.2,,,,
174,2019-03-13 06:00,0,,2.8,340,62,3.8,-6.4,998.7,1019.4,,,,,0,0,,,1812,,,-.4,,,,
174,2019-03-13 07:00,0,,2.3,360,61,3.7,-6.6,999.3,1020,0,,,,0,0,,,1927,,,-.4,,,,
174,2019-03-13 08:00,1.6,,1.7,320,54,3.7,-6.7,1000.3,1020.9,.9,,,,0,0,,,1696,,,-.3,,,,
174,2019-03-13 09:00,3.2,,3.3,320,53,4.1,-5.4,1001.1,1021.6,1,,,,0,0,,,1656,,,.1,,,,
174,2019-03-13 10:00,5.2,,3.2,320,51,4.5,-4.1,1001.1,1021.5,1,,,,1,0,,,1743,,,4.7,,,,
174,2019-03-13 11:00,6.8,,5.8,290,47,4.6,-3.7,1000.9,1021.1,1,,,,6,5,,16,1633,,,7.4,,,,
174,2019-03-13 12:00,7.2,,4.5,320,45,4.6,-3.9,1000.5,1020.7,.7,,,,8,6,,17,1987,,,7.5,,,,
174,2019-03-13 13:00,8.5,,6.2,320,30,3.3,-8.1,1000,1020,.9,,,,8,5,,23,1691,,,9.8,,,,
174,2019-03-13 14:00,9,,5.2,320,29,3.3,-8.1,999.7,1019.7,1,,,,4,1,,23,1920,,,11.1,,,,
174,2019-03-13 15:00,9.3,,6,320,27,3.2,-8.7,999.6,1019.5,1,,,,0,0,,,1569,,,10.6,,,,
174,2019-03-13 16:00,8.8,,5.2,320,23,2.6,-11.2,999.8,1019.8,1,,,,0,0,,,1908,,,8.9,,,,
174,2019-03-13 17:00,7.9,,6.2,320,22,2.3,-12.5,1000.5,1020.6,1,,,,0,0,,,1922,,,5.3,,,,
174,2019-03-13 18:00,6.8,,5.5,320,24,2.4,-12.4,1001.2,1021.4,1,,,,0,0,,,1978,,,3.6,,,,
174,2019-03-13 19:00,5.6,,4.9,320,26,2.4,-12.4,1002,1022.3,.2,,,,0,0,,,2000,,,2.3,,,,
174,2019-03-13 20:00,5.1,,4.3,320,29,2.5,-11.5,1002.7,1023.1,,,,,0,0,,,2000,,,1.8,,,,
174,2019-03-13 21:00,3.9,,2.5,360,33,2.7,-10.9,1002.7,1023.2,,,,,0,0,,,1970,,,1.4,,,,
174,2019-03-13 22:00,3.2,,2.2,360,36,2.8,-10.4,1003,1023.5,,,,,0,0,,,2000,,,1,,,,
174,2019-03-13 23:00,3.1,,2,360,38,2.9,-9.8,1003.4,1023.9,,,,,0,0,,,2000,,,.7,,,,
174,2019-03-14 00:00,.9,,.9,320,51,3.3,-8.1,1003.7,1024.4,,,,,0,0,,,1891,,,.2,,,,
174,2019-03-14 01:00,-.8,,.6,250,63,3.6,-6.9,1003.8,1024.7,,,,,0,0,,,1876,,,.1,,,,
174,2019-03-14 02:00,-1.9,,.7,270,72,3.8,-6.2,1004,1025,,,,,0,0,,,1438,,,0,,,,
174,2019-03-14 03:00,-2.2,,.3,0,75,3.9,-6,1004,1025,,,,,1,1,,70,1666,,,-.2,,,,
174,2019-03-14 04:00,-2.4,,0,0,78,4,-5.7,1004.2,1025.2,,,,,7,1,,74,1559,,,-.4,,,,
174,2019-03-14 05:00,-3.1,,.3,0,85,4.2,-5.2,1004.6,1025.7,,,,,9,9,,74,1483,,,-.5,,,,
174,2019-03-14 06:00,-3.3,,0,0,87,4.2,-5.1,1004.8,1025.9,,,,,6,1,,,1492,,,-.7,,,,
174,2019-03-14 07:00,-3.9,,.1,0,90,4.1,-5.3,1005.1,1026.3,0,,,,6,0,,,1242,,,-.7,,,,
174,2019-03-14 08:00,-1.7,,.4,0,81,4.4,-4.5,1005.2,1026.2,.8,,,,0,0,,,1207,,,-.4,,,,
174,2019-03-14 09:00,3.1,,.6,160,65,5,-2.8,1005.3,1025.9,1,,,,0,0,,,1335,,,-.2,,,,
174,2019-03-14 10:00,6.1,,2.9,270,42,4,-5.8,1005.2,1025.6,1,,,,0,0,,,1929,,,4.5,,,,
174,2019-03-14 11:00,8,,2.6,270,35,3.8,-6.5,1004.3,1024.5,1,,,,3,0,,,1646,,,7.9,,,,
174,2019-03-14 12:00,10,,2.8,360,30,3.7,-6.8,1003.6,1023.6,1,,,,0,0,,,1903,,,11,,,,
174,2019-03-14 13:00,11,,2.7,290,29,3.8,-6.3,1003,1022.9,1,,,,0,0,,,1681,,,13.3,,,,
174,2019-03-14 14:00,12.2,,3.3,320,27,3.8,-6.2,1001.9,1021.7,1,,,,0,0,,,1733,,,14.8,,,,
174,2019-03-14 15:00,12.7,,3.1,320,26,3.8,-6.3,1001.5,1021.2,1,,,,0,0,,,1947,,,14.6,,,,
174,2019-03-14 16:00,12.5,,3.5,340,27,3.9,-6,1001.2,1021,1,,,,0,0,,,1878,,,12.6,,,,
174,2019-03-14 17:00,11.7,,4,290,29,4,-5.7,1001.4,1021.2,1,,,,0,0,,,1533,,,8.8,,,,
174,2019-03-14 18:00,10.9,,2.5,320,33,4.3,-4.7,1001.6,1021.5,1,,,,0,0,,,1546,,,7.3,,,,
174,2019-03-14 19:00,8.5,,1.6,320,42,4.6,-3.7,1002,1022.1,.1,,,,0,0,,,1358,,,5.8,,,,
174,2019-03-14 20:00,6.2,,1.8,290,51,4.8,-3.2,1002.6,1022.9,,,,,0,0,,,1447,,,4.6,,,,
174,2019-03-14 21:00,4.3,,.5,140,60,5,-2.7,1002.9,1023.3,,,,,0,0,,,1195,,,3.7,,,,
174,2019-03-14 22:00,2.8,,.5,140,68,5.1,-2.5,1003.8,1024.4,,,,,0,0,,,1263,,,2.9,,,,
174,2019-03-14 23:00,1.1,,.6,140,76,5,-2.6,1004,1024.7,,,,,1,0,,,1191,,,2.2,,,,
174,2019-03-15 00:00,.6,,.2,0,78,5,-2.8,1003.8,1024.6,,,,,2,0,,,1141,,,1.7,,,,
174,2019-03-15 01:00,-.4,,.4,0,82,4.9,-3.1,1003.5,1024.4,,,,,2,0,,,1087,,,1.4,,,,
174,2019-03-15 02:00,-1,,.2,0,86,4.9,-3,1002.9,1023.8,,,,,0,0,,,816,,,1,,,,
174,2019-03-15 03:00,-1.3,,.3,0,89,5,-2.8,1001.9,1022.8,,,,,0,0,,,820,,,1,,,,
174,2019-03-15 04:00,-.9,,.5,70,90,5.2,-2.3,1001.8,1022.6,,,,,3,3,,7,901,,,1.7,,,,
174,2019-03-15 05:00,-.5,,.4,0,90,5.3,-1.9,1001.4,1022.2,,,,,7,3,,9,864,,,1.2,,,,
174,2019-03-15 06:00,-.2,,1,90,91,5.5,-1.4,1001.4,1022.2,,,,,9,6,,10,797,,,1.7,,,,
174,2019-03-15 07:00,.5,,.3,0,90,5.7,-.9,1000.9,1021.6,0,,,,9,9,,6,870,,,2.6,,,,
174,2019-03-15 08:00,1.9,,.3,0,88,6.2,.1,1001,1021.6,0,,,,9,9,,6,866,,,3.5,,,,
174,2019-03-15 09:00,5.9,0,.6,340,80,7.4,2.7,1001.1,1021.4,.3,,,,7,7,,6,853,,,6.3,,,,
174,2019-03-15 10:00,8.7,,3.6,290,73,8.2,4.1,1000.5,1020.5,.5,,,,7,7,,8,680,,,8.3,,,,
174,2019-03-15 11:00,10.6,,4.4,270,65,8.2,4.2,999.9,1019.8,.7,,,,8,4,,8,724,,,11,,,,
174,2019-03-15 12:00,11,,3.6,290,56,7.3,2.5,999,1018.9,.7,,,,7,4,,12,753,,,11.4,,,,
174,2019-03-15 13:00,12.5,,4.5,290,43,6.2,.2,997.7,1017.4,.9,,,,7,4,,15,1019,,,14.3,,,,
174,2019-03-15 14:00,10.9,,4.5,290,35,4.6,-3.9,996.7,1016.5,.3,,,,10,1,,19,1504,,,8.9,,,,
174,2019-03-15 15:00,5.2,.8,1.1,290,93,8.2,4.1,997.6,1017.9,0,,,,9,1,,9,730,,,7.6,,,,
174,2019-03-15 16:00,8.9,,1.7,180,69,7.8,3.5,996,1015.9,.8,,,,6,3,,,1208,,,13,,,,
174,2019-03-15 17:00,10.2,,3.8,290,50,6.2,.2,994.6,1014.4,.7,,,,3,2,,21,1325,,,8.2,,,,
174,2019-03-15 18:00,9.2,0,4.3,320,49,5.7,-.9,994.9,1014.8,.1,,,,6,2,,15,1015,,,6.7,,,,
174,2019-03-15 19:00,5.9,,6.4,340,50,4.6,-3.7,996.1,1016.3,0,,,,0,0,,,1606,,,4.5,,,,
174,2019-03-15 20:00,2.2,,6.7,320,83,6,-.3,997.3,1017.8,,,,,9,4,,3,351,,,3,,,,
174,2019-03-15 21:00,2.6,.1,3.8,340,70,5.2,-2.3,997.1,1017.6,,,,,9,3,,3,1646,,,2.6,,,,
174,2019-03-15 22:00,2.9,,4,340,62,4.7,-3.6,997.4,1017.8,,,,,7,5,,13,1690,,,2,,,,
174,2019-03-15 23:00,2.9,,5.2,340,69,5.2,-2.2,997.6,1018,,,,,9,9,,10,1312,,,2.5,,,,
174,2019-03-16 00:00,2.8,0,4.5,340,73,5.5,-1.5,997.3,1017.7,,,,,9,9,,,1284,,,2.7,,,,
174,2019-03-16 01:00,2.8,,3.9,320,80,6,-.3,997.9,1018.4,,,,,1,1,,8,1273,,,2.8,,,,
174,2019-03-16 02:00,3,,3.3,340,82,6.2,.2,998.6,1019.1,,,,,5,5,,7,1427,,,3.1,,,,
174,2019-03-16 03:00,3.1,0,3.4,340,84,6.4,.6,998.8,1019.2,,,,,9,9,,7,941,,,3.1,,,,
174,2019-03-16 04:00,3,,3.4,340,83,6.2,.3,998.9,1019.4,,,,,0,0,,,867,,,2.2,,,,
174,2019-03-16 05:00,3.4,,3,340,82,6.4,.6,999.8,1020.2,,,,,1,1,,6,838,,,3,,,,
174,2019-03-16 06:00,3.3,,2.4,290,82,6.3,.5,1000.6,1021.1,,,,,0,0,,,802,,,3,,,,
174,2019-03-16 07:00,3.3,,.9,320,81,6.2,.3,1001.7,1022.2,0,,,,6,6,,7,822,,,3.4,,,,
174,2019-03-16 08:00,4.1,,2.3,290,77,6.3,.4,1002.3,1022.7,.2,,,,9,9,,8,799,,,4.5,,,,
174,2019-03-16 09:00,5.1,,2.6,340,66,5.8,-.7,1002.3,1022.7,.7,,,,6,6,,8,1030,,,5.9,,,,
174,2019-03-16 10:00,6.3,,2.2,290,65,6.2,.1,1002.4,1022.7,1,,,,0,0,,,1017,,,9.1,,,,
174,2019-03-16 11:00,7.7,,2.8,290,54,5.7,-1,1002.2,1022.3,1,,,,0,0,,,1094,,,10.6,,,,
174,2019-03-16 12:00,9.2,,2.8,340,46,5.4,-1.8,1001.2,1021.2,1,,,,0,0,,,1458,,,13.2,,,,
174,2019-03-16 13:00,10.9,,2.7,320,38,5,-2.8,1000.6,1020.5,1,,,,0,0,,,1752,,,14.7,,,,
174,2019-03-16 14:00,12.1,,2.9,290,34,4.8,-3.3,999.4,1019.2,1,,,,0,0,,,1755,,,15.6,,,,
174,2019-03-16 15:00,12.6,,2.9,290,33,4.8,-3.2,998.5,1018.2,1,,,,0,0,,,1518,,,15.3,,,,
174,2019-03-16 16:00,13.1,,3,270,34,5.1,-2.4,998.4,1018,1,,,,0,0,,,1726,,,14.5,,,,
174,2019-03-16 17:00,12.3,,5,270,35,5,-2.7,998.3,1018,1,,,,0,0,,,1755,,,9.9,,,,
174,2019-03-16 18:00,10.8,,2.5,270,42,5.4,-1.6,998.8,1018.7,1,,,,0,0,,,1664,,,8.2,,,,
174,2019-03-16 19:00,8.8,,2.3,320,48,5.4,-1.6,999.3,1019.3,.1,,,,0,0,,,1508,,,6.4,,,,
174,2019-03-16 20:00,7,,2.7,290,58,5.8,-.7,999.7,1019.9,,,,,0,0,,,1436,,,5.3,,,,
174,2019-03-16 21:00,6.4,,2.5,320,64,6.1,0,1000,1020.2,,,,,0,0,,,1307,,,4.8,,,,
174,2019-03-16 22:00,3.9,,.9,140,72,5.8,-.6,1000.3,1020.7,,,,,0,0,,,1210,,,4.1,,,,
174,2019-03-16 23:00,3.1,,.6,230,76,5.8,-.7,1000.2,1020.7,,,,,0,0,,,1180,,,3.5,,,,
174,2019-03-17 00:00,3.1,,.6,180,76,5.8,-.7,1000.3,1020.8,,,,,8,0,,,1109,,,3.1,,,,
174,2019-03-17 01:00,2.7,,1.4,270,81,6,-.2,1000.2,1020.7,,,,,8,3,,,1237,,,2.7,,,,
174,2019-03-17 02:00,5.8,,2.1,290,74,6.8,1.5,1000.5,1020.8,,,,,0,0,,,1398,,,4.1,,,,
174,2019-03-17 03:00,5.8,,2.4,320,79,7.3,2.4,1000.2,1020.5,,,,,0,0,,,1168,,,3.9,,,,
174,2019-03-17 04:00,5.4,,2.6,320,82,7.3,2.5,1000.3,1020.6,,,,,0,0,,,1110,,,3.4,,,,
174,2019-03-17 05:00,4.9,,1.8,320,85,7.3,2.5,1000.7,1021.1,,,,,6,1,,,939,,,2.8,,,,
174,2019-03-17 06:00,4.4,,1.5,290,86,7.2,2.2,1001.3,1021.7,,,,,0,0,,,919,,,2.6,,,,
174,2019-03-17 07:00,3.1,,.7,320,90,6.9,1.6,1001.8,1022.3,0,,,,2,2,,8,872,,,2.2,,,,
174,2019-03-17 08:00,5.1,,.6,270,81,7.1,2.1,1002.7,1023.1,.8,,,,0,0,,,799,,,4.5,,,,
174,2019-03-17 09:00,7.2,,2.3,320,68,6.9,1.6,1003.4,1023.6,1,,,,0,0,,,1095,,,6.4,,,,
174,2019-03-17 10:00,8.7,,2.8,290,59,6.6,1.1,1003.7,1023.8,1,,,,0,0,,,1307,,,8.4,,,,
174,2019-03-17 11:00,10.2,,4.2,320,47,5.8,-.6,1003.9,1023.9,1,,,,0,0,,,1621,,,10.4,,,,
174,2019-03-17 12:00,10.7,,5.6,340,40,5.2,-2.3,1003.9,1023.9,1,,,,1,0,,,1744,,,11.9,,,,
174,2019-03-17 13:00,12.4,,4.4,360,30,4.3,-4.7,1003.2,1023,1,,,,0,0,,,1761,,,14.5,,,,
174,2019-03-17 14:00,12.8,,4.2,340,27,4,-5.7,1002.5,1022.3,1,,,,0,0,,,1662,,,15.5,,,,
174,2019-03-17 15:00,12.9,,4.6,320,30,4.5,-4.2,1001.9,1021.6,1,,,,0,0,,,1824,,,14.8,,,,
174,2019-03-17 16:00,12.9,,4,290,30,4.5,-4.2,1001.7,1021.4,1,,,,0,0,,,1778,,,13.4,,,,
174,2019-03-17 17:00,12.7,,3.3,320,32,4.7,-3.6,1001.7,1021.4,1,,,,0,0,,,1753,,,10.4,,,,
174,2019-03-17 18:00,11.2,,4,340,32,4.2,-4.9,1002,1021.9,1,,,,0,0,,,1871,,,7.9,,,,
174,2019-03-17 19:00,9.1,,2.2,320,35,4.1,-5.5,1002.7,1022.7,.3,,,,0,0,,,1981,,,6.2,,,,
174,2019-03-17 20:00,8,,2.3,340,36,3.9,-6.1,1003.4,1023.5,,,,,0,0,,,2000,,,5.1,,,,
174,2019-03-17 21:00,6.6,,1.8,320,43,4.2,-5.1,1003.4,1023.7,,,,,6,0,,,1982,,,4.4,,,,
174,2019-03-17 22:00,3.7,,.6,250,59,4.7,-3.5,1003.4,1023.9,,,,,6,0,,,1671,,,3.7,,,,
174,2019-03-17 23:00,2,,.7,140,68,4.8,-3.2,1003.7,1024.3,,,,,5,0,,,1542,,,2.9,,,,
174,2019-03-18 00:00,1.3,,.5,290,70,4.7,-3.5,1003.7,1024.4,,,,,3,0,,,1460,,,2.3,,,,
174,2019-03-18 01:00,.1,,.3,0,78,4.8,-3.2,1003.6,1024.4,,,,,7,0,,,1505,,,1.9,,,,
174,2019-03-18 02:00,-.3,,.3,0,80,4.8,-3.3,1003.4,1024.3,,,,,9,0,,,1425,,,1.4,,,,
174,2019-03-18 03:00,-1.1,,.3,0,85,4.8,-3.3,1003,1023.9,,,,,6,0,,,1330,,,1.1,,,,
174,2019-03-18 04:00,-1.6,,.4,0,88,4.8,-3.3,1002.5,1023.4,,,,,8,0,,,1407,,,.9,,,,
174,2019-03-18 05:00,-1.7,,.4,0,89,4.8,-3.2,1002.3,1023.2,,,,,9,0,,,1340,,,.8,,,,
174,2019-03-18 06:00,-1.9,,.1,0,90,4.8,-3.3,1002.2,1023.1,,,,,7,7,,73,1232,,,.5,,,,
174,2019-03-18 07:00,-2.1,,.1,0,91,4.8,-3.3,1002.2,1023.2,0,,,,6,6,,72,1297,,,.4,,,,
174,2019-03-18 08:00,.1,,.3,0,84,5.2,-2.2,1002.5,1023.3,.3,,,,4,1,,,1434,,,1.6,,,,
174,2019-03-18 09:00,4,,.3,0,67,5.5,-1.5,1002.9,1023.4,.7,,,,8,4,,68,1719,,,5.4,,,,
174,2019-03-18 10:00,9.7,,1.1,110,51,6.1,0,1002.1,1022.1,.9,,,,7,4,,67,1342,,,9.5,,,,
174,2019-03-18 11:00,12.8,,2.3,140,29,4.3,-4.8,1001.3,1021,.9,,,,7,5,,62,1812,,,12.3,,,,
174,2019-03-18 12:00,13.3,,3.1,180,32,4.9,-3,1000.7,1020.4,.9,,,,7,2,,63,1759,,,13.9,,,,
174,2019-03-18 13:00,12.5,,3.7,180,42,6.1,0,999.9,1019.6,.4,,,,10,5,,52,1803,,,13.3,,,,
174,2019-03-18 14:00,13.3,,2.5,180,42,6.4,.6,998.9,1018.5,.1,,,,10,9,,47,1812,,,15.7,,,,
174,2019-03-18 15:00,12.9,,2.5,180,42,6.2,.2,997.9,1017.6,0,,,,9,7,,45,1934,,,14.3,,,,
174,2019-03-18 16:00,13.3,,2.6,200,41,6.2,.3,997.6,1017.2,.3,,,,9,6,,45,1893,,,14.9,,,,
174,2019-03-18 17:00,12.8,,2.6,180,45,6.6,1.1,997.2,1016.8,.1,,,,10,8,,43,1956,,,12.1,,,,
174,2019-03-18 18:00,12.2,,3.2,180,46,6.5,.9,997,1016.7,.4,,,,8,3,,42,1938,,,10.3,,,,
174,2019-03-18 19:00,11.1,,1.9,180,54,7.1,2.1,997.1,1016.9,0,,,,8,8,,41,1976,,,8.4,,,,
174,2019-03-18 20:00,9.7,,.3,0,63,7.5,2.9,997.3,1017.3,,,,,10,10,,39,1391,,,8.1,,,,
174,2019-03-18 21:00,8,,.7,290,71,7.6,3,997.8,1017.8,,,,,9,9,,42,635,,,7.4,,,,
174,2019-03-18 22:00,7.4,,.3,0,74,7.6,3,997.8,1017.9,,,,,9,9,,41,1291,,,7,,,,
174,2019-03-18 23:00,6.4,,.4,0,80,7.6,3.1,997.5,1017.7,,,,,10,10,,40,1197,,,6.2,,,,
174,2019-03-19 00:00,5.6,,.1,0,84,7.6,3.1,997,1017.2,,,,,10,10,,,1130,,,5.6,,,,
174,2019-03-19 01:00,4.8,,.1,0,87,7.5,2.8,996.7,1017,,,,,9,9,,42,1120,,,5.1,,,,
174,2019-03-19 02:00,3.3,,.3,0,92,7.1,2.1,996.6,1017,,,,,6,6,,42,1060,,,3.7,,,,
174,2019-03-19 03:00,2.2,,.5,140,96,6.9,1.6,996,1016.5,,,,,4,2,,68,949,,,2.9,,,,
174,2019-03-19 04:00,1.5,,.1,0,100,6.8,1.4,995.7,1016.2,,,,,,0,,,743,,,2.3,,,,
174,2019-03-19 05:00,.5,,0,0,100,6.3,.4,995.8,1016.4,,,,,,0,,,688,,,1.7,,,,
174,2019-03-19 06:00,-.2,,.5,90,100,6,-.2,996.2,1016.9,,,,,,0,,,689,,,1.4,,,,
174,2019-03-19 07:00,-.4,,.5,110,100,5.9,-.4,996.5,1017.2,0,,,,,0,,,721,,,1.2,,,,
174,2019-03-19 08:00,6.6,,2.3,290,66,6.4,.6,997.2,1017.4,.9,,,,,0,,,1424,,,3.2,,,,
174,2019-03-19 09:00,9.8,,3,290,49,5.9,-.4,997.8,1017.8,1,,,,,0,,,1570,,,6,,,,
174,2019-03-19 10:00,12.5,,3.4,290,28,4.1,-5.5,997.8,1017.5,1,,,,0,0,,,1679,,,8.6,,,,
174,2019-03-19 11:00,14.8,,3.7,320,27,4.5,-4,997.5,1017.1,1,,,,0,0,,,1854,,,11.2,,,,
174,2019-03-19 12:00,16.1,,5.4,340,27,4.9,-2.9,997.2,1016.6,1,,,,0,0,,,1675,,,13.3,,,,
174,2019-03-19 13:00,17.3,,6.1,340,30,5.9,-.4,996.7,1016,1,,,,0,0,,,1462,,,15.1,,,,
