unemp,hours,income,age,education
4,234,355,42,12
3,2224,350,29,16
3,2000,472,35,12
4,0,437,63,11
4,1736,915,42,17
4,1960,264,35,13
6,1328,26,23,12
7,1043,326,46,12
7,0,671,34,12
7,1920,125,27,12
7,0,184,22,13
8,1755,766,39,16
10,2040,303,39,14
6,1488,450,41,16
6,2210,89,38,17
4,582,450,64,12
4,104,440,27,17
5,0,307,44,13
4,1820,102,27,12
4,400,193,63,8
4,2008,120,38,9
1,0,43,63,2
1,1695,226,53,12
4,1856,230,23,13
4,1920,282,32,12
6,904,297,36,12
11,45,400,29,14
11,0,735,56,10
6,1610,275,35,12
6,1422,2030,45,12
3,1624,439,31,12
5,1080,341,58,12
5,1248,285,31,10
5,0,97,56,10
4,1104,320,47,10
4,1776,278,29,11
4,1504,345,41,12
8,1582,70,20,14
4,0,416,22,12
4,1932,416,46,12
6,0,690,34,17
4,2470,335,53,12
5,2165,190,24,12
5,1330,580,59,17
5,1682,225,34,16
6,2364,363,42,10
6,320,96,25,12
3,1938,230,27,12
2,1920,588,43,12
6,684,360,33,16
5,980,440,40,15
5,1880,454,38,12
4,69,512,30,16
5,0,784,34,16
5,0,685,35,16
5,0,595,64,14
6,1837,111,26,10
6,1362,140,48,10
11,614,226,29,12
6,195,115,24,10
5,765,221,56,8
10,1333,135,45,12
9,1872,310,22,12
9,1528,168,45,12
4,1940,800,40,16
4,1968,530,57,12
5,176,250,39,16
5,298,280,31,16
6,984,260,40,13
5,1704,247,55,12
4,1650,405,29,17
5,1960,60,40,10
5,176,274,51,11
5,2346,232,24,12
5,0,141,20,12
6,0,460,38,12
7,1936,262,50,12
7,2199,101,25,17
3,160,300,26,12
3,1870,212,28,12
3,1030,500,58,12
9,0,370,28,12
5,1750,225,61,10
5,2040,340,35,12
5,1924,257,26,16
9,2008,166,23,14
5,2550,178,53,8
9,1025,1500,46,12
8,0,239,58,12
5,2008,440,40,16
5,625,433,39,10
2,1040,7,36,12
2,1383,156,39,12
5,1747,262,57,12
5,1913,234,25,16
5,1928,270,24,14
5,1908,650,48,13
6,1940,460,38,14
2,0,455,45,12
5,0,111,62,6
6,0,371,35,16
7,0,159,24,10
7,0,185,23,12
7,1960,270,46,12
7,1326,92,46,10
7,864,188,46,11
4,0,160,39,14
5,1057,252,29,12
3,3483,58,26,17
8,2000,115,46,12
3,1837,731,52,12
5,2342,157,60,8
5,0,372,28,14
5,0,121,23,12
3,314,680,53,12
3,1248,359,57,16
2,2000,188,29,13
7,0,364,40,17
7,2016,170,21,12
5,2214,230,25,12
3,1090,550,35,12
2,0,141,58,8
4,1288,178,50,12
7,1203,362,25,16
2,2500,700,27,13
4,2080,136,23,12
8,2373,181,33,17
5,1736,530,43,12
3,0,765,39,17
6,2232,496,59,12
4,1736,357,40,12
5,2000,273,35,12
4,1756,186,33,15
11,1237,230,31,16
5,1717,157,34,15
5,168,188,36,11
8,0,103,25,12
8,1657,99,50,12
5,522,175,30,12
8,1633,293,44,14
8,2040,170,26,12
3,832,450,36,12
5,0,340,32,12
9,1259,160,21,12
7,1960,313,31,12
7,0,194,62,12
5,431,445,35,15
5,750,300,32,12
5,0,660,59,12
5,1665,650,29,16
4,1880,193,56,15
3,0,231,55,12
3,3525,496,26,16
4,332,339,30,14
6,2160,652,33,15
4,136,9,31,14
4,0,477,64,12
3,0,260,30,16
4,1340,283,40,17
5,2056,268,44,12
7,0,517,39,12
4,0,426,59,12
4,459,454,44,12
7,0,1028,44,14
3,384,110,24,12
1,1214,270,35,12
1,0,187,54,3
3,0,200,31,12
3,0,130,32,11
6,0,190,56,9
5,138,95,23,11
5,1101,24,48,12
5,0,392,64,12
4,1254,228,28,17
5,1600,530,59,16
5,2050,20,36,12
9,1829,258,21,12
4,302,150,22,10
5,864,286,60,9
5,1952,150,36,12
5,0,195,44,12
5,1976,414,30,17
3,1960,460,40,16
4,0,355,59,12
7,1440,277,42,14
5,40,392,46,15
5,0,482,58,12
5,0,28,35,13
6,1160,210,50,13
6,1310,324,29,12
7,1840,713,35,14
6,24,488,36,13
6,2261,154,30,16
6,2280,550,30,13
3,819,329,27,12
3,1568,373,29,17
3,2461,371,61,12
3,0,488,41,12
3,905,960,40,17
4,1400,759,47,15
4,0,727,46,12
7,1920,446,43,9
7,0,280,20,11
7,868,164,22,12
5,2252,449,44,12
2,744,835,39,16
8,428,290,36,12
7,0,268,63,12
7,18,117,34,12
5,1225,370,31,12
7,174,279,33,16
6,1920,385,37,12
7,300,688,32,12
8,1867,65,27,13
7,0,1056,56,16
4,600,152,34,16
10,796,63,21,14
10,0,314,61,12
10,919,380,33,12
2,1155,510,38,14
10,1667,525,40,16
5,0,246,43,12
4,1653,100,48,8
4,261,110,24,12
6,0,134,20,12
5,1844,200,25,13
4,2133,268,29,12
4,2050,122,36,12
6,1680,372,47,17
6,1740,280,36,17
2,262,93,23,15
3,2066,110,24,15
9,1880,393,39,11
5,694,294,30,16
4,1268,406,27,12
4,1324,210,21,12
6,2256,139,37,12
5,1458,360,21,12
14,1407,224,36,12
6,1400,90,58,17
4,864,176,28,15
5,2038,331,52,12
4,92,230,28,15
5,2052,216,32,14
3,2223,110,28,13
4,0,656,21,10
5,2880,359,61,17
6,2220,596,49,16
5,2295,479,30,12
5,0,150,29,14
5,2142,202,45,15
5,1176,228,50,10
5,2083,180,30,12
5,2060,288,44,9
5,2040,210,47,10
5,0,421,54,12
3,0,370,35,16
9,1944,392,32,16
3,774,310,32,16
3,0,836,45,13
10,1600,97,30,8
11,630,90,23,7
10,0,100,57,3
11,2195,83,32,10
7,600,109,38,8
7,0,205,28,12
6,980,79,23,11
6,1928,406,38,16
4,2058,548,40,16
6,1751,310,31,12
6,0,361,55,12
6,236,381,38,15
4,1952,31,61,7
4,1300,92,63,11
6,2020,130,50,13
6,1960,86,29,12
6,0,60,53,12
6,0,360,41,10
6,640,397,37,13
9,1935,520,37,17
5,3000,129,29,12
3,2160,200,42,12
5,1258,252,37,12
5,1312,326,36,12
3,2033,544,41,11
6,1544,490,41,17
5,1110,707,45,15
9,2077,243,31,14
9,2534,552,27,11
9,0,288,48,11
9,1788,346,34,10
9,0,275,63,13
3,1871,203,28,13
7,0,265,37,10
7,0,475,59,14
6,1928,342,24,15
7,1100,525,54,16
8,1392,112,25,17
6,1632,453,25,16
7,1720,3,30,12
7,0,225,25,12
6,0,671,43,12
10,624,140,56,12
4,2783,210,40,10
11,1880,330,37,12
4,2145,518,57,16
7,704,190,28,12
8,1920,170,49,12
8,528,127,20,12
10,280,412,32,8
10,1920,120,33,14
6,1880,120,33,12
6,905,577,42,7
6,1991,87,22,11
19,2054,118,47,12
3,1512,377,37,17
3,0,250,31,12
3,0,761,38,13
3,471,321,63,12
4,1860,279,53,12
6,2490,120,26,15
6,2032,150,36,15
6,0,384,33,12
6,1312,211,23,12
6,1463,143,43,12
6,641,43,41,12
8,3029,83,54,12
8,1530,272,33,14
8,940,350,31,12
8,0,90,33,12
3,2176,427,28,12
8,1530,170,56,12
8,1157,220,28,12
6,0,478,40,12
5,0,238,57,12
5,1308,220,30,16
3,324,269,24,12
5,1720,217,51,11
5,1304,200,30,12
5,2304,314,28,12
5,0,257,32,10
5,618,64,38,14
11,0,135,34,12
5,2110,13,35,11
5,0,256,34,12
5,1720,8,20,11
5,0,983,56,12
5,1480,335,24,12
5,2036,235,25,13
5,2366,477,26,12
7,1464,425,29,12
7,0,723,53,11
5,432,170,24,10
5,0,69,19,8
7,0,150,25,14
7,184,107,20,11
5,0,325,48,12
2,1912,297,58,12
3,1200,480,42,17
3,2135,499,28,17
4,385,443,35,13
4,0,180,32,14
4,875,162,56,2
5,1275,165,57,11
7,0,481,37,16
7,64,462,34,17
7,76,330,37,16
7,1896,225,40,8
10,1148,385,37,16
10,70,231,31,16
5,0,200,27,12
1,1094,139,62,12
4,224,232,26,14
4,0,340,38,13
5,2000,160,29,16
6,0,130,56,10
6,1169,362,25,12
4,1205,274,31,14
5,2184,339,39,7
3,735,200,35,12
10,1134,265,28,12
11,2090,-20,36,14
11,31,300,35,13
11,415,423,37,12
5,0,223,38,12
8,0,172,50,12
8,390,100,20,12
5,1952,528,35,14
5,2340,150,38,17
5,1968,313,24,13
5,2013,790,35,12
5,0,212,61,12
4,1519,150,22,12
4,2060,414,45,12
4,1982,340,44,12
4,2202,237,30,12
4,0,231,49,11
3,2040,150,19,10
4,128,275,40,12
5,1837,440,50,12
10,0,178,24,9
7,1452,46,28,16
6,0,370,59,12
4,2480,451,25,16
8,1452,553,31,17
6,0,587,32,13
2,2330,645,31,16
4,2040,139,27,12
5,1500,100,22,15
6,1000,480,48,12
5,0,123,28,12
9,2005,261,37,13
5,2124,244,36,12
5,2072,281,32,12
5,1799,353,24,12
4,0,169,26,12
5,0,326,47,10
6,858,155,22,12
5,2259,348,40,14
6,1560,70,24,14
5,2044,201,31,12
5,1844,147,29,12
5,1296,475,51,12
11,1699,211,62,13
5,1500,270,54,12
5,0,591,32,12
5,662,159,21,11
6,2000,731,58,14
5,2103,259,30,15
3,1824,503,34,17
2,252,523,39,16
3,1200,1620,38,17
3,0,415,57,12
3,0,301,29,12
3,1353,351,33,12
2,1750,400,49,12
7,1904,256,25,14
3,1137,709,57,17
9,1819,103,52,12
9,1920,403,43,12
6,2174,222,43,12
4,387,92,22,10
3,1098,43,29,12
6,2048,478,36,15
6,1248,270,35,16
6,260,320,31,12
2,1911,8,33,14
8,104,176,32,16
8,0,151,59,12
8,1880,453,49,12
8,1176,166,40,12
8,0,366,50,12
5,1920,301,32,14
6,0,500,59,16
6,1856,190,29,16
6,0,290,27,16
6,1040,135,28,12
6,1960,225,29,12
6,0,350,28,14
6,1944,346,51,12
4,0,239,33,13
5,1648,200,35,14
4,2010,232,32,12
4,0,322,63,12
7,604,233,30,12
6,0,420,60,12
7,88,94,29,12
6,0,95,28,12
7,424,184,28,16
6,2004,167,38,14
6,1428,180,33,17
3,0,520,32,16
8,0,250,29,15
4,860,209,28,13
6,0,248,64,12
6,1928,389,33,17
9,180,200,32,12
10,1960,130,34,14
5,902,115,64,10
9,1960,309,48,13
9,0,284,33,12
9,0,225,53,8
9,0,280,33,12
7,1496,233,47,17
7,1517,360,25,12
7,0,470,32,12
7,0,355,31,12
7,1000,508,32,12
7,0,283,40,13
6,352,375,36,14
7,0,635,35,12
7,0,1189,42,12
5,0,480,38,12
1,1485,150,42,16
7,0,670,30,16
3,990,613,52,17
4,2041,490,40,12
8,0,272,39,12
8,1300,90,28,12
8,0,434,61,12
8,2080,30,38,12
5,0,280,32,12
5,1808,82,33,14
4,1920,546,44,12
5,1984,362,31,13
4,1920,260,34,16
10,1828,84,33,12
3,1248,179,58,13
6,0,144,64,10
6,1654,193,43,8
7,2083,40,30,12
7,1959,492,26,13
3,1860,441,39,8
3,0,176,63,12
5,0,290,28,13
8,1800,330,43,12
8,486,192,47,10
8,0,370,59,12
9,1770,381,26,16
8,3181,170,31,14
7,0,550,36,16
8,2100,139,23,16
8,0,211,38,12
8,0,193,58,8
8,945,235,26,12
8,1050,170,30,11
10,1900,114,36,9
10,37,230,21,11
7,2020,115,25,12
7,581,93,35,12
10,0,100,19,10
10,1937,192,34,12
6,1960,250,38,14
13,0,70,31,9
13,406,45,31,9
2,512,195,28,13
2,0,362,34,17
3,0,519,38,12
6,0,250,48,14
6,1081,92,28,12
5,0,410,34,13
5,0,358,64,8
7,2072,254,25,16
6,927,423,31,16
9,0,128,60,12
5,1950,319,42,12
6,1632,273,31,12
4,312,178,24,12
4,1946,700,50,12
6,2600,285,24,16
6,1085,656,36,13
4,1386,455,33,17
10,688,90,33,12
5,1035,498,53,17
3,1737,300,31,16
4,130,600,36,16
5,1224,86,29,11
4,1936,325,38,12
4,1938,82,19,12
7,1248,252,40,12
8,2000,310,37,16
7,0,139,33,11
7,1035,65,30,10
4,2090,320,52,12
11,1848,140,37,12
4,1780,251,43,16
2,1250,109,53,14
7,1265,90,27,12
5,0,153,35,13
6,1965,527,41,12
6,0,425,43,12
6,0,169,48,11
3,1037,239,36,11
3,0,120,24,12
3,1798,122,46,14
3,844,390,47,12
3,1288,246,25,13
3,0,211,25,12
3,1225,617,52,11
3,261,200,29,16
3,0,270,31,12
6,1960,200,31,17
6,1000,456,36,15
5,2058,315,33,12
3,2500,908,28,17
8,0,446,41,12
6,0,648,45,12
6,0,600,63,16
8,0,234,59,12
3,1976,270,35,12
8,0,798,43,13
7,1200,155,24,12
7,1891,213,35,13
7,2060,108,58,12
7,1920,151,26,16
8,2056,413,60,17
12,1984,536,39,13
6,0,211,44,12
6,0,180,26,13
10,0,428,34,13
10,2076,-26,47,16
4,1840,312,48,8
4,1222,240,42,12
5,2500,310,29,16
8,1250,384,34,17
7,1670,258,56,12
5,1934,186,59,12
5,1958,132,21,9
8,0,121,59,12
6,2560,86,34,12
5,0,232,49,12
5,1019,323,37,16
6,1530,207,33,14
6,1794,349,58,12
6,1632,367,35,12
4,0,100,28,10
5,2200,500,48,10
8,0,537,32,13
8,1880,190,29,12
3,481,958,54,17
7,1806,348,60,17
5,1368,258,31,12
8,2640,740,35,13
7,742,184,32,12
5,2130,208,30,12
7,1760,155,33,12
7,1893,173,32,12
7,1993,250,43,12
2,1248,145,52,8
2,982,71,24,12
2,0,285,48,12
2,1150,138,22,12
4,344,215,63,12
5,2940,360,38,12
5,0,464,54,12
7,1422,250,29,12
5,1750,183,23,12
6,0,203,64,12
3,0,763,37,16
6,2040,470,37,14
4,2361,312,42,16
6,0,302,32,12
2,1456,78,40,12
5,1638,320,19,11
5,1944,253,33,10
5,2036,148,51,9
7,0,1300,57,12
4,0,172,24,8
4,1960,454,38,9
8,0,175,50,7
6,1920,435,34,13
4,1786,190,35,12
4,480,210,23,13
6,0,158,58,12
5,2024,225,30,12
4,1824,266,27,13
11,1960,383,50,12
9,0,346,28,12
7,0,181,29,12
7,0,549,52,12
11,0,539,31,12
7,456,182,25,13
11,0,262,53,10
9,0,61,29,12
3,1161,217,64,10
3,1535,167,33,14
3,352,252,36,12
3,0,200,29,12
11,2116,150,36,14
11,2040,23,38,12
5,1584,273,26,17
5,0,1742,53,17
13,110,90,30,9
5,1904,170,26,14
5,1952,249,30,15
6,2000,277,60,12
5,2075,466,43,13
5,1296,350,28,14
4,0,272,63,12
5,1680,204,34,15
4,320,342,54,13
3,1940,343,35,10
6,1575,625,41,17
5,2076,185,26,14
7,0,185,25,13
7,416,431,32,16
7,10,208,32,12
5,2284,290,61,17
14,1542,176,37,14
4,1895,515,42,13
5,2214,200,25,16
4,2450,166,24,13
4,726,88,26,12
6,0,174,41,11
4,0,2417,50,16
6,714,228,27,16
6,1146,160,35,8
5,1664,333,38,12
4,1002,270,46,12
6,1600,433,39,12
3,1760,380,56,8
3,0,387,54,8
5,0,230,32,12
5,384,340,31,12
3,0,347,26,11
6,0,236,53,11
5,1365,650,32,13
5,2000,114,58,8
5,1936,57,29,13
5,176,179,28,12
5,0,96,27,12
5,0,140,41,12
5,2044,0,36,13
5,2072,199,40,13
5,0,190,33,13
7,1888,233,41,13
6,0,512,39,12
5,0,262,51,12
5,1924,185,46,14
5,0,625,50,12
5,0,84,31,12
5,2050,288,26,14
5,0,108,32,12
5,0,272,36,12
5,0,420,34,13
5,0,98,28,14
5,1400,210,29,12
5,1896,96,60,7
5,704,150,31,12
5,0,263,49,9
8,0,112,36,13
8,1800,6,27,15
8,0,115,30,11
8,2673,401,28,14
8,1840,128,23,10
8,2040,220,36,13
8,461,42,28,11
8,0,372,37,13
8,0,79,32,11
8,0,47,33,13
8,0,195,36,12
8,1952,760,42,17
15,730,100,44,13
8,240,60,26,14
8,0,63,47,12
7,2010,165,24,12
8,816,295,49,14
8,756,382,31,13
8,2105,31,51,16
8,0,119,63,5
8,0,176,55,8
8,1744,220,37,14
8,0,180,25,12
8,0,460,52,14
8,1736,403,37,12
6,1176,631,32,14
6,500,199,32,16
3,2151,375,25,16
6,630,396,58,16
6,0,200,27,13
5,2080,124,54,9
5,558,358,25,12
6,74,451,34,14
4,258,169,27,12
6,1968,470,42,16
6,1085,322,52,12
6,707,223,53,13
6,296,610,35,16
6,1920,344,27,12
30,5840,498,35,11
6,354,340,32,11
5,928,240,31,14
10,0,208,32,16
3,1008,359,39,13
5,499,395,28,14
6,2200,20,38,14
3,1816,610,41,11
6,2350,316,37,12
5,2066,300,26,15
5,160,280,28,11
8,2770,377,34,14
6,0,399,48,12
5,0,360,45,12
7,2080,222,27,13
5,2970,381,37,17
6,1880,59,20,12
3,2044,225,26,12
9,1096,85,52,12
9,1960,180,32,12
8,1688,403,33,13
5,2500,380,36,14
7,0,524,49,12
5,2040,300,22,11
7,624,117,21,12
7,1600,77,33,12
7,1096,240,33,13
7,0,226,21,14
9,1032,253,28,12
7,1875,152,21,12
7,1956,432,35,12
7,0,308,59,15
7,1920,232,44,12
6,1100,42,35,12
9,1341,143,37,13
9,980,264,57,12
5,0,168,28,12
6,0,100,21,11
5,775,340,32,12
4,2500,230,25,8
8,2008,300,43,13
3,1915,260,33,8
4,1848,163,50,12
4,1170,200,51,11
2,2000,430,31,16
4,2178,295,27,16
2,2100,146,27,16
4,1688,328,30,16
4,1560,48,54,16
5,1595,155,26,14
3,605,64,23,12
8,1040,199,21,12
8,0,104,44,10
8,934,53,35,12
8,1608,52,40,12
8,0,149,23,12
14,2005,170,33,13
8,0,67,57,7
8,1862,70,39,12
8,0,72,21,9
8,80,1,32,9
6,1823,130,37,14
10,664,72,35,12
10,0,133,56,10
10,0,209,26,12
5,2286,281,29,15
10,0,302,28,12
10,1530,150,51,12
10,0,31,41,6
10,120,202,30,12
10,1952,92,31,12
9,1295,341,33,17
10,0,110,25,9
10,1920,107,32,12
10,0,124,62,9
9,0,230,31,12
6,78,650,34,14
5,1796,126,31,14
5,1900,123,59,12
5,2205,470,36,12
4,419,214,41,10
4,908,120,23,12
5,64,150,23,12
7,1976,350,23,12
10,1042,48,35,12
10,0,218,59,8
8,1120,138,33,12
10,0,140,24,11
2,968,187,24,12
2,1536,634,54,12
8,0,136,31,12
6,1986,144,41,12
5,1785,465,44,10
5,2081,220,24,14
5,2300,8,28,14
5,2176,184,35,11
5,1720,132,31,16
5,0,250,54,12
6,1844,190,25,14
6,1750,238,30,14
5,1685,320,33,16
5,1890,313,37,17
5,1016,604,30,15
6,1781,170,58,6
5,0,240,30,12
5,0,340,31,12
5,0,180,31,12
5,853,160,30,12
8,1775,733,51,11
5,1627,380,26,12
8,2227,243,29,12
3,0,264,58,11
3,366,434,31,11
3,2450,670,59,17
2,0,425,31,14
9,344,5,22,12
9,2200,495,38,12
9,2080,226,57,11
9,2080,172,20,14
9,872,133,22,16
9,2231,156,50,12
9,2000,375,48,14
4,2040,423,43,11
7,1976,105,22,10
9,1440,270,31,17
7,1265,141,31,16
7,2536,408,37,17
5,2784,163,30,17
3,1485,570,44,11
7,1088,304,34,16
4,1657,70,28,12
4,1840,50,21,12
4,1960,210,30,12
4,0,298,40,12
4,0,188,62,9
4,600,17,46,9
4,165,78,38,12
4,2086,190,26,17
4,2000,100,34,10
4,416,133,53,9
4,1750,85,39,12
6,763,0,31,11
6,1736,180,25,13
6,0,72,29,12
5,0,62,54,10
6,256,153,38,12
6,1968,148,41,13
10,264,74,23,12
7,600,52,49,10
8,0,119,25,9
5,0,404,30,16
4,1976,194,24,12
4,1443,180,48,9
4,0,81,32,11
4,1632,300,43,11
5,2196,250,28,9
5,0,233,52,7
8,0,84,49,11
2,1120,380,39,17
9,0,352,48,12
6,0,185,39,8
8,1656,342,33,9
9,0,117,22,13
8,52,126,28,16
8,1920,674,49,12
6,1856,774,43,17
3,1358,260,36,16
3,2024,220,31,12
3,780,143,29,14
6,1560,563,43,12
3,1632,312,36,12
8,2056,122,30,11
3,902,313,25,12
3,0,330,22,12
3,750,180,56,12
2,0,281,32,12
2,1708,530,33,14
4,2008,360,29,17
9,0,235,35,14
5,1330,871,57,12
3,1823,202,54,16
6,2000,171,24,12
9,2060,110,32,10
3,0,190,29,12
4,0,87,59,12
4,2314,27,39,16
4,0,292,26,12
4,1450,540,54,12
4,2952,322,25,12
5,592,200,32,10
6,1976,220,52,9
6,0,300,25,12
4,2040,162,31,12
4,1992,180,47,12
4,2000,120,24,12
4,1944,132,27,14
4,2120,140,30,12
4,1760,175,31,12
4,756,170,32,12
4,1897,309,28,11
6,2040,240,32,12
4,2100,390,31,12
4,2288,188,36,14
5,1295,108,38,12
5,0,295,30,14
5,736,178,24,12
6,1734,228,45,12
6,2080,271,26,13
7,0,276,26,12
3,0,133,22,12
4,2040,190,25,12
6,1440,127,23,10
7,943,87,35,13
7,1987,320,28,16
8,1792,250,31,12
7,0,66,48,12
7,1384,30,25,13
6,0,100,60,6
6,1800,450,41,10
5,1656,200,25,14
6,151,47,27,11
3,1113,306,31,14
2,2102,175,26,15
4,3060,205,19,14
5,1976,85,20,12
5,0,161,22,12
3,2024,70,32,10
5,0,43,53,7
5,1500,194,40,11
5,522,240,35,12
5,918,69,34,12
5,0,125,63,8
5,0,102,38,12
5,2000,250,53,12
5,0,321,32,12
9,1839,130,30,12
9,2352,60,26,14
5,2000,286,38,15
7,0,255,58,12
7,275,182,26,12
7,1208,134,28,11
6,2000,130,22,12
6,1960,82,34,12
7,1944,132,31,12
7,0,487,55,12
7,0,210,23,10
5,2640,374,29,13
4,2064,610,49,11
7,0,140,32,11
5,136,306,30,12
4,554,470,27,12
4,0,166,39,6
6,2062,141,36,10
4,0,225,46,8
4,992,80,24,12
4,0,110,25,10
4,1850,230,37,17
4,1818,108,30,13
4,2503,140,29,12
3,2000,120,31,9
4,1392,90,21,12
4,1687,154,43,12
4,1980,220,27,11
4,1914,255,34,12
6,1872,201,36,14
6,1960,230,31,12
6,176,507,38,10
5,0,266,27,13
5,0,232,25,11
5,0,91,62,12
5,0,106,55,10
5,864,281,32,12
10,1530,65,58,5
10,868,145,35,11
11,2056,0,30,16
9,1920,0,39,17
9,1992,250,28,16
9,1936,290,46,14
5,0,350,60,8
5,1984,157,54,12
7,0,234,43,5
8,2133,203,29,10
8,2000,340,27,8
5,804,40,26,12
8,0,433,63,12
6,1952,181,39,14
4,1984,52,39,12
3,2020,501,45,12
3,2440,160,21,13
7,0,320,28,12
7,1383,329,24,13
7,0,535,62,12
2,1437,462,39,16
7,1798,291,34,17
8,0,71,24,10
8,1840,312,38,14
9,1950,120,27,12
5,2000,205,33,13
6,2120,270,31,15
4,872,255,46,16
4,1665,309,31,16
4,0,156,38,12
6,2151,177,32,16
6,0,286,61,13
6,1724,510,40,14
5,1211,295,26,12
5,1792,302,49,9
5,0,130,31,12
4,2047,349,34,12
4,1908,352,40,16
12,126,63,63,12
6,1510,180,33,12
3,0,1070,55,14
5,2046,80,53,17
9,0,79,59,7
9,2000,270,36,12
9,448,55,34,8
17,0,143,34,12
4,0,240,36,6
4,1795,326,38,10
3,688,136,33,12
6,0,224,50,11
6,772,110,28,10
6,1416,29,61,5
5,223,121,24,12
10,0,80,28,12
9,2145,48,30,12
6,1968,230,33,12
10,0,132,26,12
10,0,371,32,12
10,0,350,25,13
5,1868,81,52,12
5,52,201,29,13
4,1188,372,35,14
5,820,541,37,13
5,0,207,26,12
5,3456,6,50,12
5,2160,310,32,10
5,0,522,36,12
7,0,166,57,7
7,0,59,24,10
7,1016,172,26,12
7,1141,185,28,12
7,2860,20,51,11
7,1976,11,31,16
8,0,300,31,12
6,2156,280,34,16
4,0,192,52,12
6,0,190,26,13
4,0,70,24,12
4,208,100,22,12
4,0,161,39,12
3,2040,320,33,17
4,0,201,55,12
3,1936,230,33,13
4,2000,223,31,11
4,0,109,61,8
3,2068,300,35,14
5,1996,193,34,14
4,0,345,53,12
5,2060,151,27,13
3,1984,151,33,10
4,172,61,26,12
3,0,129,29,11
3,2030,93,24,12
4,2538,134,26,12
4,1800,328,33,12
4,0,166,24,12
4,1616,183,34,12
4,1920,60,35,12
4,1999,86,57,12
4,0,97,63,6
4,2000,130,36,12
4,1840,180,28,15
4,2032,236,26,12
4,105,383,29,12
4,1631,135,34,10
4,960,69,33,10
4,2040,200,30,12
5,0,131,19,12
4,2200,301,34,13
4,2040,210,31,10
4,2040,269,52,10
4,0,332,28,12
4,1664,185,20,9
3,0,571,55,11
6,0,78,25,12
6,1920,255,40,10
7,0,55,48,8
7,0,88,20,11
8,2245,237,41,12
7,1296,280,31,12
4,0,211,36,12
4,1064,20,44,15
4,0,328,63,10
4,645,332,37,12
4,1836,387,33,12
4,1596,213,35,12
4,1960,190,34,12
4,1708,505,58,11
4,0,160,30,12
4,0,158,28,12
4,216,120,20,14
4,2050,220,26,14
4,1236,187,19,11
4,1348,126,42,11
4,1935,80,39,12
4,1928,165,64,10
3,1016,110,34,15
4,434,140,38,14
6,2558,4,51,11
5,1297,160,32,12
6,2000,114,28,12
6,1568,18,28,12
6,1560,65,24,14
6,2008,160,24,12
6,1760,130,31,16
5,1720,108,29,16
6,2318,132,45,14
6,1960,130,29,16
6,1766,90,32,10
6,1896,178,28,12
6,0,55,28,10
8,0,642,50,9
8,0,166,21,12
6,0,243,31,12
4,2344,263,23,12
4,2380,171,30,12
4,352,292,48,9
5,1920,250,57,12
5,2064,150,38,12
5,1170,350,35,9
8,1912,367,34,16
6,528,201,29,16
6,0,303,59,9
4,1705,153,31,12
6,1816,365,32,16
6,1214,158,37,9
6,0,87,29,12
5,0,171,23,7
5,1959,166,22,12
5,1992,270,48,12
6,2080,345,24,14
5,1938,280,26,13
6,1560,126,28,15
6,2080,110,30,12
6,1896,160,34,13
9,0,320,33,11
6,0,240,32,12
8,0,278,50,9
8,2076,100,26,14
8,0,68,25,9
8,0,329,42,10
6,650,170,29,12
5,0,200,46,12
4,2400,266,36,14
9,2000,113,23,12
9,1312,15,24,14
9,0,148,26,9
6,1500,263,38,14
6,644,150,36,12
6,624,233,39,12
6,1568,215,28,12
2,1828,302,30,13
5,2467,219,29,13
7,1651,296,49,14
4,0,189,26,14
4,1717,270,36,12
6,1388,542,40,17
7,0,82,51,12
7,1384,164,24,14
5,1880,57,37,12
9,1992,160,36,12
9,1664,75,25,10
3,1071,200,60,7
6,1944,149,49,11
6,2492,258,32,12
7,2000,240,31,12
9,0,295,35,15
9,1937,170,23,14
9,80,240,26,13
4,2232,390,37,14
4,0,650,53,12
4,1785,78,44,10
4,1780,239,50,12
4,1512,92,22,12
5,2352,242,47,8
5,2006,127,19,12
3,2295,210,31,8
5,170,218,36,12
7,1300,161,29,14
4,1645,332,39,12
3,408,370,38,12
5,1944,335,34,12
6,0,368,29,14
6,2000,181,32,10
4,2016,263,33,12
5,1984,300,33,13
9,344,135,49,12
9,2000,400,42,13
6,2000,0,55,12
9,0,119,62,6
9,0,120,18,8
4,2020,348,41,12
7,325,358,27,10
5,1904,250,49,11
5,0,52,27,13
5,0,310,23,12
3,2430,140,32,14
4,2470,350,26,14
3,0,893,62,12
9,2030,198,36,12
5,1040,420,38,12
3,1600,727,40,17
5,1470,120,27,12
5,1896,342,29,12
4,0,435,31,14
4,1960,267,37,12
4,418,300,39,12
4,1885,470,56,10
3,2108,280,29,12
6,2000,190,44,12
6,0,240,51,12
9,1300,64,33,11
9,1920,153,45,14
5,355,300,24,13
6,99,260,51,10
4,0,200,22,12
5,900,263,28,12
5,1960,371,33,12
4,48,300,31,12
3,0,821,34,12
7,274,285,26,12
4,0,347,51,12
11,0,102,59,10
11,1164,90,33,11
9,1002,505,34,16
11,2116,160,30,12
11,2358,98,28,14
9,0,91,48,10
9,1932,406,32,11
3,936,353,31,16
5,1449,278,49,10
5,2080,10,26,12
4,1837,663,40,13
6,2027,0,40,12
7,0,125,38,12
5,0,620,35,15
5,2080,182,36,14
7,1813,300,33,12
5,620,200,29,14
5,0,160,24,12
5,512,132,29,11
